'Ehdokasnumero';'Kuntanumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalirahoitukseni ei ole ylittanyt 800 euroa';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 800 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0005';'005';'Heikki';'Honko';'terävastaava';'Alajärvi';'PS';'30.6.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0006';'005';'Jari';'Hämeenniemi';'yrittäjä';'Alajärvi';'PS';'11.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0009';'005';'Tommi';'Joensuu';'linja-autonkuljettaja';'Alajärvi';'PS';'15.8.2021';'';'';'';'100';'5';'05';'10';'10';'10';'10';'10';'10';'10';'10';'10';'100';'100';'0';'0';'';'';'0';'';'';'0';'';'';'0';'';'';'0';'';'';'';''
'0010';'005';'Jukka';'Kangastie';'yrittäjä, ajoneuvomekaanikko';'Alajärvi';'PS';'11.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0011';'005';'Pirjo';'Kantokoski';'lastentarhanopettaja';'Alajärvi';'PS';'15.8.2021';'';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'';'';'0';'';'';'0';'';'';'0';'';'';'0';'X';'';'0';''
'0012';'005';'Orvo';'Kantonen';'hirsityöntekijä';'Alajärvi';'PS';'1.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0013';'005';'Valtteri';'Karhunen';'sähköasentaja';'Alajärvi';'PS';'12.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0015';'005';'Kari';'Korhonen';'johtava pastori';'Alajärvi';'PS';'24.6.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0016';'005';'Tiina';'Kämäräinen';'sairaanhoitaja';'Alajärvi';'PS';'27.6.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0017';'005';'Markus';'Latvala';'puristinajuri';'Alajärvi';'PS';'26.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0018';'005';'Ari';'Matintupa';'asennuspäällikkö, yrittäjä';'Alajärvi';'PS';'16.8.2021';'';'';'';'173,60';'';'';'';'';'';'173,60';'';'';'';'';'';'173,60';'173,60';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0019';'005';'Anne';'Matokangas';'toimistosihteeri';'Alajärvi';'PS';'30.6.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0021';'005';'Marko';'Pakka';'yrittäjä';'Alajärvi';'PS';'13.9.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'Kulut ja rahoitus 0 euroa.'
'0025';'005';'Pasi';'Siirilä';'maatalouslomittaja';'Alajärvi';'PS';'1.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0031';'005';'Sanna';'Joensuu';'lähihoitaja';'Alajärvi';'KD';'17.8.2021';'';'';'';'0,00';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0032';'005';'Maria';'Kanervikkoaho';'FM, opiskelija';'Alajärvi';'KD';'20.6.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0033';'005';'Aino';'Kanervikkoaho-Kataja';'luokanopettaja, eläkeläinen';'Alajärvi';'KD';'28.6.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0036';'005';'Sampo';'Latvala';'yrittäjä, autoilija';'Alajärvi';'KD';'30.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0038';'005';'Harri';'Hakala';'varastomyyjä';'Alajärvi';'SDP';'9.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0039';'005';'Jukka Pekka';'Matintupa';'kunnallisneuvos';'Alajärvi';'SDP';'13.8.2021';'';'';'';'915';'874';'';'';'';'';'';'';'';'';'';'41';'915';'565';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'350';'X';'';'';''
'0040';'005';'Jorma';'Tiistola';'konepuuseppä, eläkeläinen';'Alajärvi';'SDP';'7.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0041';'005';'Jaakko';'Aho';'mekaanikko, eläkeläinen';'Alajärvi';'KESK';'1.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0042';'005';'Siiri';'Ahopelto';'nuoriso- ja vapaa-ajanohjaaja';'Alajärvi';'KESK';'15.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0043';'005';'Mika';'Ala-Mattinen';'uinninvalvoja, yrittäjä';'Alajärvi';'KESK';'1.9.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0044';'005';'Liu';'Eteläaho';'toiminnanohjaaja';'Alajärvi';'KESK';'16.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0045';'005';'Sami';'Finnilä';'yrittäjä';'Alajärvi';'KESK';'26.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0047';'005';'Juha';'Hauta-aho';'maatalousyrittäjä';'Alajärvi';'KESK';'16.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0048';'005';'Anu';'Hautakangas';'lastenhoitaja';'Alajärvi';'KESK';'5.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0049';'005';'Jarmo';'Hänninen';'kirvesmies';'Alajärvi';'KESK';'24.6.2021';'';'';'';'400';'300';'';'';'';'';'100';'';'';'';'';'';'400';'400';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0050';'005';'Tapio';'Höykinpuro';'toimistosihteeri';'Alajärvi';'KESK';'16.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0051';'005';'Antti';'Joensuu';'rehtori, maanviljelijä';'Alajärvi';'KESK';'15.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0052';'005';'Marjo';'Jokela';'röntgenhoitaja, maanviljelijä';'Alajärvi';'KESK';'23.6.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0055';'005';'Markku';'Kariluoma';'insinööri, eläkeläinen';'Alajärvi';'KESK';'30.6.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0056';'005';'Anttu';'Kivikangas';'opettaja, KM';'Alajärvi';'KESK';'16.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0057';'005';'Eeva Liisa';'Kolonen';'kanttori, FM';'Alajärvi';'KESK';'15.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0058';'005';'Matti';'Korkea-aho';'eläkeläinen';'Alajärvi';'KESK';'15.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0059';'005';'Kuisma';'Kujala';'yrittäjä';'Alajärvi';'KESK';'4.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0060';'005';'Pasi';'Leikkari';'agrologi, maanviljelijä';'Alajärvi';'KESK';'16.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0061';'005';'Antti-Kalle';'Levijoki';'diplomi-insinööri, mv.';'Alajärvi';'KESK';'12.8.2021';'';'';'';'841,67';'297,78';'';'';'';'';'275,28';'';'';'';'';'268,61';'841,67';'573,06';'';'';'X';'';'';'X';'';'';'X';'';'268,61';'X';'Keskustan Levijoki - Kortekylän yhdistys ry, (y-tunnus 3031066-7) maksoi yhden yhteismainoksen ehdokkailleen (4kpl) Järviseutu lehteen, Siitä saatu laskennallinen tuki oli yhdelle mainoksessa esiintyneelle 83,18 euroa, Keskustan Alajärven kunnallisjärjestö ry, :lle (y-tunnus 3031724-4) aiheutui ehdokasta päälle 185,43 euron kulut ja sen verran siis sain ikäänkuin tukea vaalikampanjaan sitä kautta, Yhteensä nämä puolueyhdistyksiltä saadut tuet 268,61 euroa, ';'';'X';'';'';'Alajärven Ankkurit Ankkuritaulun vaalimainos maksoi yhteensä 173,60 euroa kuukaudeksi sekä kirkolle, että Hoiskoon. Vaalijuliste maksoi 101,68 euroa.Lehtimainokset Torstai-lehdessä:viikolla 21/21: maksoi 75,26 euroa,viikolla 22/21: maksoi 75,26 euroa, viikolla 23/21: maksoi 73,48 euroa, viikolla 24/21 ollut kiitosilmoitus maksoi 73,78 euroa.'
'0062';'005';'Timo';'Mariapori';'perhehoitaja';'Alajärvi';'KESK';'4.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0063';'005';'Helinä';'Mesiäislehto-Soukka';'terveystieteiden tohtori, psykoterapeutti';'Alajärvi';'KESK';'6.7.2021';'';'';'';'288,00';'252,00';'0';'0';'0';'0';'0';'36,00';'0';'0';'0';'0';'288,00';'288,00';'';'';'';'';'';'X';'';'';'X';'';'';'';'';'';'';'';'';''
'0064';'005';'Terho';'Mäkelä';'maa- ja metsätalousyrittäjä';'Alajärvi';'KESK';'5.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0065';'005';'Martti';'Mäkitalo';'yrittäjä, insinööri';'Alajärvi';'KESK';'6.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0066';'005';'Hasan';'Nurbiye';'kokki';'Alajärvi';'KESK';'8.10.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0067';'005';'Aino-Maija';'Ojala';'terveydenhoitaja, sairaanhoitaja';'Alajärvi';'KESK';'23.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0068';'005';'Sari';'Palmu';'maatalousyrittäjä, lasten erikoissairaanhoitaja';'Alajärvi';'KESK';'11.7.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0070';'005';'Lea';'Peltokangas';'kotitalousteknikko, kokki';'Alajärvi';'KESK';'16.8.2021';'';'';'X';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
