'Tukija';'Tukijan y-tunnus/yhdistysrekisterinumero jos on';'Tukijan etunimet';'Tukijan sukunimi';'Tukijan kotikunta jos on';'Tukilahteen lomakenumerot';'Lainan nimi';'Lainan takaisinmaksuaika/laina-aika';'Tuen maara';'Tuen saajan etunimet';'Tuen saajan Sukunimi';'Vaalipiiri / Kunta';'Tuen saajan puolue'
'';'';'';'';'';'2.2';'';'';'0,00';'Tapio';'Kivistö';'Akaa';'PS'
'';'';'';'';'';'2.3';'';'';'0,00';'Tapio';'Kivistö';'Akaa';'PS'
'';'';'';'';'';'2.3';'';'';'0,00';'Tapio';'Kivistö';'Akaa';'PS'
'';'';'';'';'';'2.7';'';'';'0,00';'Sirpa';'Hertell';'Espoo';'VIHR'
'';'';'';'';'';'2.7';'';'';'0,00';'Sirpa';'Hertell';'Espoo';'VIHR'
'';'';'';'';'';'2.8';'';'';'0,00';'Sirpa';'Hertell';'Espoo';'VIHR'
'';'';'';'';'';'2.8';'';'';'0,00';'Sirpa';'Hertell';'Espoo';'VIHR'
'Stiftelsen för det tvåspråkiga Finland sr';'1749439-3';'';'';'';'2.7';'';'';'1000,00';'Saara';'Hyrkkö';'Espoo';'VIHR'
'';'';'Anna-Maija';'Karimäki';'Espoo';'2.3';'';'';'3000,00';'Johanna';'Karimäki';'Espoo';'VIHR'
'';'';'Kari';'Savolainen';'Espoo';'2.3';'';'';'2000,00';'Johanna';'Karimäki';'Espoo';'VIHR'
'';'';'Jouko';'Partanen';'Imatra';'2.3';'';'';'1500,00';'Henna';'Partanen';'Espoo';'VIHR'
'';'';'';'';'';'2.2';'';'';'0,00';'Peppi';'Seppälä';'Espoo';'VIHR'
'';'';'Harri Valtteri';'Kukkonen';'Espoo';'2.3';'';'';'2500,00';'Susanna';'Sielo';'Espoo';'VIHR'
'Elinkeinoelämän keskusliitto ry, Finlands näringsliv rf';'1902799-1';'';'';'';'2.7';'';'';'1000,00';'Simon';'Elo';'Espoo';'KOK'
'';'';'';'';'';'2.2';'';'';'0,00';'Helena';'Tiitinen';'Espoo';'SDP'
'';'';'Virpi';'Tiitinen';'Helsinki';'2.3';'';'';'1050,00';'Helena';'Tiitinen';'Espoo';'SDP'
'';'';'Yrjö';'Tiitinen';'Helsinki';'2.3';'';'';'1050,00';'Helena';'Tiitinen';'Espoo';'SDP'
'';'';'';'';'';'2.3';'';'';'0,00';'Helena';'Tiitinen';'Espoo';'SDP'
'';'';'';'';'';'2.4';'';'';'0,00';'Helena';'Tiitinen';'Espoo';'SDP'
'';'';'';'';'';'2.4';'';'';'0,00';'Helena';'Tiitinen';'Espoo';'SDP'
'Etelä-Espoon Sosialidemokraatinen työväen yhdistys';'';'';'';'';'2.6';'';'';'833,00';'Helena';'Tiitinen';'Espoo';'SDP'
'';'';'';'';'';'2.2';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'';'';'';'';'';'2.3';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'';'';'';'';'';'2.3';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'';'';'';'';'';'2.4';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'';'';'';'';'';'2.4';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'';'';'';'';'';'2.5';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'';'';'';'';'';'2.5';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'';'';'';'';'';'2.6';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'';'';'';'';'';'2.6';'';'';'0,00';'Terhi';'Valkeapää';'Espoo';'SDP'
'Tmi Repokettu';'1507732-6';'';'';'';'2.4';'';'';'147,46';'Tea';'Jaakkola';'Forssa';'PS'
'PS Hämeen piiri';'';'';'';'';'2.6';'';'';'30,00';'Tea';'Jaakkola';'Forssa';'PS'
'';'';'';'';'';'2.2';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.3';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.3';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.4';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.4';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.5';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.5';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.6';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.6';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.7';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.7';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.8';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.8';'';'';'0,00';'Jyrki';'Mastokangas';'Halsua';'KESK'
'';'';'';'';'';'2.2';'';'';'0,00';'Ville';'Virtanen';'Hamina';'SDP'
'';'';'';'';'';'2.3';'';'';'0,00';'Ville';'Virtanen';'Hamina';'SDP'
'';'';'';'';'';'2.3';'';'';'0,00';'Ville';'Virtanen';'Hamina';'SDP'
'';'';'';'';'';'2.4';'';'';'0,00';'Ville';'Virtanen';'Hamina';'SDP'
'';'';'';'';'';'2.4';'';'';'0,00';'Ville';'Virtanen';'Hamina';'SDP'
'';'';'';'';'';'2.2';'Ei ole';'0';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'';'';'Ei';'Ole';'Ei ole';'2.3';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'';'';'Ei';'Ole';'Ei ole';'2.3';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'Ei ole';'⁰0000000000';'';'';'';'2.4';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'Ei ole';'00000000000';'';'';'';'2.4';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'Ei ole';'00000000';'';'';'';'2.6';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'Ei ole';'⁰0000000000';'';'';'';'2.6';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'';'';'';'';'';'2.7';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
'';'';'';'';'';'2.8';'';'';'0,00';'Ari';'Kesäläinen';'Hattula';'KOK'
